Quantity,Name,Simple Name,Set,Card Number,Set Code,Printing,Condition,Language,Rarity,Product ID,SKU
1,Tapestry of the Ages,Tapestry of the Ages,Dragons of Tarkir,246,DTK,Normal,Near Mint,English,Uncommon,96553,2741994
1,Savvy Hunter,Savvy Hunter,Throne of Eldraine,200,ELD,Normal,Near Mint,English,Uncommon,198566,4181395
1,Savai Thundermane,Savai Thundermane,Ikoria: Lair of Behemoths,205,IKO,Normal,Near Mint,English,Uncommon,212291,4379074
1,Zenith Flare,Zenith Flare,Ikoria: Lair of Behemoths,217,IKO,Normal,Near Mint,English,Uncommon,212538,4390795
1,Gemrazer (Showcase),Gemrazer,Ikoria: Lair of Behemoths,295,IKO,Normal,Near Mint,English,Rare,212072,4363969
1,Neutralize,Neutralize,Ikoria: Lair of Behemoths,59,IKO,Normal,Near Mint,English,Uncommon,212117,4368270
1,Ominous Seas,Ominous Seas,Ikoria: Lair of Behemoths,61,IKO,Normal,Near Mint,English,Uncommon,212260,4376043
1,Valiant Rescuer,Valiant Rescuer,Ikoria: Lair of Behemoths,36,IKO,Normal,Near Mint,English,Uncommon,212122,4368715
1,Reconnaissance Mission,Reconnaissance Mission,Ikoria: Lair of Behemoths,65,IKO,Normal,Near Mint,English,Uncommon,212181,4371613
1,Naturalize,Naturalize,Dragons of Tarkir,193,DTK,Normal,Near Mint,English,Common,96739,2744129
1,Moldgraf Monstrosity,Moldgraf Monstrosity,Innistrad,194,ISD,Normal,Near Mint,English,Rare,56320,505889
1,"Nefarox, Overlord of Grixis","Nefarox, Overlord of Grixis",Magic 2013 (M13),103,M13,Normal,Near Mint,English,Rare,59816,937200
1,Tezzeret's Betrayal,Tezzeret's Betrayal,Aether Revolt,191,AER,Normal,Near Mint,English,Rare,126549,3260049
1,Reckless Fireweaver,Reckless Fireweaver,Kaladesh,126,KLD,Normal,Near Mint,English,Common,123071,3203432
1,Bomat Courier,Bomat Courier,Kaladesh,199,KLD,Normal,Near Mint,English,Rare,122872,3202212
1,"Gargos, Vicious Watcher","Gargos, Vicious Watcher",Promo Pack: Core Set 2020,172p,PPM20,Normal,Near Mint,English,Rare,193489,4128830
2,"Gargos, Vicious Watcher","Gargos, Vicious Watcher",Core Set 2020,172,M20,Normal,Near Mint,English,Rare,192785,4110245
1,Desolation Twin,Desolation Twin,Battle for Zendikar,6,BFZ,Normal,Near Mint,English,Rare,104736,2952027
1,Altar of the Goyf,Altar of the Goyf,Modern Horizons 2,220,MH2,Foil,Near Mint,English,Uncommon,240061,4981070
2,Millikin,Millikin,Modern Horizons 2,297,MH2,Foil,Near Mint,English,Uncommon,240114,4982057
2,Fodder Tosser,Fodder Tosser,Modern Horizons 2,226,MH2,Foil,Near Mint,English,Common,240437,5004556
1,Monoskelion,Monoskelion,Modern Horizons 2,229,MH2,Foil,Near Mint,English,Uncommon,239751,4966891
1,Sojourner's Companion,Sojourner's Companion,Modern Horizons 2,235,MH2,Foil,Near Mint,English,Common,240444,5005166
1,Ornithopter of Paradise,Ornithopter of Paradise,Modern Horizons 2,232,MH2,Foil,Near Mint,English,Common,240340,4998685
1,Monoskelion (Retro Frame),Monoskelion,Modern Horizons 2,429,MH2,Foil,Near Mint,English,Uncommon,239752,4967001
1,Traveler's Amulet,Traveler's Amulet,Double Masters 2022,316,2X2,Foil,Near Mint,English,Common,277186,5711054
1,Blacksmith's Skill,Blacksmith's Skill,Modern Horizons 2,6,MH2,Foil,Near Mint,English,Common,240197,4988698
1,Disciple of the Sun,Disciple of the Sun,Modern Horizons 2,11,MH2,Foil,Near Mint,English,Common,240411,5002336
1,Blacksmith's Skill (Retro Frame),Blacksmith's Skill,Modern Horizons 2,381,MH2,Foil,Near Mint,English,Common,240219,4990275
1,Landscaper Colos,Landscaper Colos,Modern Horizons 2,18,MH2,Foil,Near Mint,English,Common,239813,4971811
1,Fairgrounds Patrol,Fairgrounds Patrol,Modern Horizons 2,13,MH2,Foil,Near Mint,English,Common,240434,5004226
1,Break Ties,Break Ties,Modern Horizons 2,8,MH2,Foil,Near Mint,English,Common,239487,4954634
1,Battlefield Promotion,Battlefield Promotion,Double Masters 2022,7,2X2,Foil,Near Mint,English,Common,277141,5709004
1,Last Breath,Last Breath,Double Masters 2022,15,2X2,Foil,Near Mint,English,Common,277147,5709304
1,Settle Beyond Reality,Settle Beyond Reality,Double Masters 2022,30,2X2,Foil,Near Mint,English,Common,276253,5688348
1,Thraben Watcher,Thraben Watcher,Modern Horizons 2,34,MH2,Foil,Near Mint,English,Uncommon,240147,4984297
1,King of the Pride (Retro Frame),King of the Pride,Modern Horizons,4,MH1,Foil,Near Mint,English,Uncommon,239859,4976201
1,Blacksmith's Skill (Retro Frame),Blacksmith's Skill,Modern Horizons 2,381,MH2,Foil,Near Mint,English,Common,240219,4990275
1,Constable of the Realm,Constable of the Realm,Modern Horizons 2,10,MH2,Foil,Near Mint,English,Uncommon,239816,4971981
1,Marble Gargoyle,Marble Gargoyle,Modern Horizons 2,21,MH2,Foil,Near Mint,English,Common,240430,5003786
