Count,Name,Foil,Edition,acquired_price,tcg_mid,tcg_low,foil_price,Condition,Language
"1","Vendilion Clique","0","Morningtide","30.00","23.35","17.99","90.50","NM","EN",
"1","Vendilion Clique","0","Morningtide","30.00","23.35","17.99","90.50","NM","EN",
"1","Vendilion Clique","0","Morningtide","30.00","23.35","17.99","90.50","NM","EN",
"1","Mana Leak","1","Magic 2012","2.21","0.25","0.08","2.49","NM","EN",
"1","Mana Leak","1","Magic 2012","2.21","0.25","0.08","2.49","NM","EN",
"1","Abrupt Decay","0","Return to Ravnica","4.00","2.85","1.16","12.99","NM","EN",
"1","Mana Leak","1","Magic 2012","1.90","0.25","0.08","2.49","NM","EN",
"1","Abrupt Decay","0","Return to Ravnica","4.00","2.85","1.16","12.99","NM","EN",
"1","Abrupt Decay","0","Return to Ravnica","4.00","2.85","1.16","12.99","NM","EN",
"1","Abrupt Decay","0","Return to Ravnica","4.00","2.85","1.16","12.99","NM","EN",
"1","Glittering Wish","1","Future Sight","20.00","5.75","4","23.33","NM","EN",
"1","Misty Rainforest","0","Zendikar","12.00","70.00","62.96","118.95","NM","EN",
"1","Stony Silence","0","Innistrad","13.00","7.60","5.15","18.76","NM","EN",
"1","Glittering Wish","1","Future Sight","19.99","5.75","4","23.33","NM","EN",
"1","Eidolon of the Great Revel","0","Journey into Nyx","1.66","5.99","3.99","19.74","NM","EN",
"1","Eidolon of the Great Revel","0","Journey into Nyx","1.66","5.99","3.99","19.74","NM","EN",
"1","Eidolon of the Great Revel","0","Journey into Nyx","1.66","5.99","3.99","19.74","NM","EN",
"1","Mindcrank","0","New Phyrexia","0.19","1.25","0.35","5.12","NM","EN",
"1","Mindcrank","0","New Phyrexia","0.19","1.25","0.35","5.12","NM","EN",
"1","Mindcrank","0","New Phyrexia","0.19","1.25","0.35","5.12","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Sneak Attack","0","Urza's Saga","55.99","26.62","21.74","-","NM","EN",
"1","Nykthos, Shrine to Nyx","0","Theros","5.00","10.37","7.81","19.35","NM","EN",
"1","Dark Confidant","0","Ravnica: City of Guilds","76.48","86.86","64.25","137.00","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Bitterblossom","0","Modern Masters 2015 Edition","21.00","40.00","32.98","50.79","NM","EN",
"1","Bitterblossom","0","Morningtide","21.00","41.00","32.89","92.50","NM","EN",
"1","Path to Exile","1","WPN Promos","4.00","10.60","6","16.11","NM","EN",
"1","Electrickery","1","Return to Ravnica","1.00","0.30","0.15","3.65","NM","EN",
"1","Shu Yun, the Silent Tempest","1","Fate Reforged","4.49","0.37","0.08","1.66","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","0","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","0","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","0","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","0","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Electrickery","1","Return to Ravnica","0.14","0.30","0.15","3.65","NM","EN",
"1","Thoughtseize","0","Theros","19.95","14.12","10.1","36.30","NM","EN",
"1","Breeding Pool","0","Dissension","12.50","21.59","17.88","180.32","NM","EN",
"1","Breeding Pool","0","Dissension","12.50","21.59","17.88","180.32","NM","EN",
"1","Breeding Pool","0","Dissension","14.54","21.59","17.88","180.32","NM","EN",
"1","Breeding Pool","0","Dissension","12.50","21.59","17.88","180.32","NM","EN",
"1","Pendelhaven","0","Legends","2.50","13.71","6.54","-","NM","EN",
"1","Force of Will","0","Alliances","100.00","119.35","100","-","NM","EN",
"1","Polluted Delta","0","Khans of Tarkir","16.71","30.36","24","59.97","NM","EN",
"1","Polluted Delta","0","Khans of Tarkir","16.71","30.36","24","59.97","NM","EN",
"1","Polluted Delta","0","Onslaught","34.00","55.79","43.77","599.99","NM","EN",
"1","Notion Thief","1","Dragon's Maze","2.00","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","1","Dragon's Maze","2.00","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","1","Dragon's Maze","2.00","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","1","Dragon's Maze","2.00","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","0","Dragon's Maze","0.48","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","0","Dragon's Maze","0.48","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","0","Dragon's Maze","0.48","0.79","0.39","4.60","NM","EN",
"1","Notion Thief","0","Dragon's Maze","0.48","0.79","0.39","4.60","NM","EN",
"1","Stony Silence","1","Innistrad","34.99","7.60","5.15","18.76","NM","EN",
"1","Temple of Deceit","0","Theros","2.27","3.33","2.01","5.26","NM","EN",
"1","Temple of Deceit","0","Theros","2.27","3.33","2.01","5.26","NM","EN",
"1","Temple of Deceit","1","Theros","9.00","3.33","2.01","5.26","NM","EN",
"1","Temple of Deceit","1","Theros","9.00","3.33","2.01","5.26","NM","EN",
"1","Thassa, God of the Sea","0","Theros","4.69","12.67","9","25.17","NM","EN",
"1","Thassa, God of the Sea","0","Theros","4.69","12.67","9","25.17","NM","EN",
"1","Thassa, God of the Sea","0","Theros","4.69","12.67","9","25.17","NM","EN",
"1","Thassa, God of the Sea","0","Theros","4.69","12.67","9","25.17","NM","EN",
"1","Gainsay","1","Theros","0.19","0.20","0.01","0.38","NM","EN",
"1","Gainsay","1","Theros","0.19","0.20","0.01","0.38","NM","EN",
"1","Gainsay","1","Theros","0.19","0.20","0.01","0.38","NM","EN",
"1","Gainsay","1","Theros","0.19","0.20","0.01","0.38","NM","EN",
"1","Dack Fayden","0","Conspiracy","22.45","19.79","17.34","135.99","NM","EN",
"1","Tetsuo Umezawa","0","Legends","40.00","67.39","49.88","-","NM","EN",
"1","Tetsuo Umezawa","0","Legends","11.99","67.39","49.88","-","NM","EN",
"1","Tetsuo Umezawa","0","Legends","17.20","67.39","49.88","-","NM","EN",
"1","Tetsuo Umezawa","0","Legends","11.99","67.39","49.88","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
"1","Wild Nacatl","0","Duel Decks: Ajani vs. Nicol Bolas","1.21","1.22","0.4","-","NM","EN",
